date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:13	455611/455611	---MCZ	200	added ('OK')	text/html	etag:%22dc0b3452bc35d1106f3132c4d17c8ccc%22	https://hansenpartners.net/services	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/services.html	(from )
10:17:14	107/107	---MCZ	200	added ('OK')	text/plain	etag:%22c5d7a2af6f9e2a24781c2c5094118423%22	https://hansenpartners.net/robots.txt		(from )
10:17:15	74005/74005	---MCZ	200	added ('OK')	text/css	etag:W/%22d5a41b4f832991c205f366a8eed11965%22	https://styles.luxurypresence.com/producer/index.css	C:/My%20Web%20Sites/web_builder_test/styles.luxurypresence.com/producer/index.css	(from https://hansenpartners.net/services)
10:17:36	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e283%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	(from https://hansenpartners.net/services)
10:17:36	11084/11084	---M-Z	200	added ('OK')	text/css	etag:%225eb03ea7-2b4c%22	https://cdnjs.cloudflare.com/ajax/libs/ion-rangeslider/2.3.1/css/ion.rangeSlider.min.css	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/ion-rangeslider/2.3.1/css/ion.rangeSlider.min.css	(from https://hansenpartners.net/services)
10:17:38	33310/33310	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22f91a76eb01cd842dc28f43e4b2eb4068%22	https://hansenpartners.net/favicon.ico	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/favicon.ico	(from https://hansenpartners.net/services)
10:17:38	321/321	---M--	200	added ('OK')	image/png	etag:%222e021d289dac147b4a052c4313ceded5%22	https://hansenpartners.net/favicon-16x16.png	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/favicon-16x16.png	(from https://hansenpartners.net/services)
10:17:39	565/565	---M--	200	added ('OK')	image/png	etag:%2289e8cdb64c6fdd2578e8993da7b4f3dc%22	https://hansenpartners.net/favicon-32x32.png	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/favicon-32x32.png	(from https://hansenpartners.net/services)
10:17:40	38519/38519	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04003-9677%22	https://cdnjs.cloudflare.com/ajax/libs/turbolinks/5.2.0/turbolinks.js	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/turbolinks/5.2.0/turbolinks.js	(from https://hansenpartners.net/services)
10:17:40	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2013%20Jan%202022%2002:17:39%20GMT	https://kit.fontawesome.com/6219da6e02.js	C:/My%20Web%20Sites/web_builder_test/kit.fontawesome.com/6219da6e02.js	(from https://hansenpartners.net/services)
10:17:42	440034/440034	---MCZ	200	added ('OK')	text/html	etag:%229f0850a9389a8ddf8fba23ff114bb2cb%22	https://hansenpartners.net/team	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/team.html	(from https://hansenpartners.net/services)
10:17:42	435849/435849	---MCZ	200	added ('OK')	text/html	etag:%222a39868d19c3547aa49e5d3a67bc24dc%22	https://hansenpartners.net/	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/index.html	(from https://hansenpartners.net/services)
10:17:42	64442/64442	---M-Z	200	added ('OK')	text/html	etag:W/%22d7dff529541458ae285b53a5196d55c5%22	https://hansenpartners.net/home-search/listings	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/home-search/listings.html	(from https://hansenpartners.net/services)
10:17:43	461102/461102	---MCZ	200	added ('OK')	text/html	etag:%2262888a1c2997a9ea79ddb708ef8b3647%22	https://hansenpartners.net/neighborhoods	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/neighborhoods.html	(from https://hansenpartners.net/services)
10:17:44	405817/405817	---MCZ	200	added ('OK')	text/html	etag:%221505233ef7e3b4698b7419e2876bca9a%22	https://hansenpartners.net/home-valuation	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/home-valuation.html	(from https://hansenpartners.net/services)
10:17:44	437244/437244	---MCZ	200	added ('OK')	text/html	etag:%2253c73c1e40044cd742a3383b92a7d5b1%22	https://hansenpartners.net/FeaturedListingHOA	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/FeaturedListingHOA.html	(from https://hansenpartners.net/services)
10:17:45	464484/464484	---MCZ	200	added ('OK')	text/html	etag:%229ca5362491f4e07ee62216cbcf7c6a8e%22	https://hansenpartners.net/testimonials	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/testimonials.html	(from https://hansenpartners.net/services)
10:17:45	1283/1283	---M--	200	added ('OK')	image/png	etag:%2246b18dbf0bb31a4281f4ed1893ead317%22	https://d1e1jt2fj4r8r.cloudfront.net/uploads/icon-close-white.png	C:/My%20Web%20Sites/web_builder_test/d1e1jt2fj4r8r.cloudfront.net/uploads/icon-close-white.png	(from https://hansenpartners.net/services)
10:17:45	421574/421574	---MCZ	200	added ('OK')	text/html	etag:%22c99d5b0a465da936afd729de712efb3a%22	https://hansenpartners.net/terms-and-conditions	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/terms-and-conditions.html	(from https://hansenpartners.net/services)
10:17:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2013%20Jan%202022%2002:17:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/web_builder_test/www.googletagmanager.com/gtm.125445.delayed	(from https://hansenpartners.net/services)
10:17:46	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/web_builder_test/www.google-analytics.com/analytics.js	(from https://hansenpartners.net/services)
10:17:48	88151/88151	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-15857%22	https://code.jquery.com/jquery-3.4.0.min.js	C:/My%20Web%20Sites/web_builder_test/code.jquery.com/jquery-3.4.0.min.js	(from https://hansenpartners.net/services)
10:17:48	75419/75419	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e72-1269b%22	https://cdnjs.cloudflare.com/ajax/libs/handlebars.js/4.2.0/handlebars.min.js	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/handlebars.js/4.2.0/handlebars.min.js	(from https://hansenpartners.net/services)
10:17:48	27266/27266	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a82-3IF9dWj5Y8UKuKEfbXv/z98W6Go%22	https://cdn.jsdelivr.net/npm/handlebars-intl@1.1.2/dist/handlebars-intl.min.js	C:/My%20Web%20Sites/web_builder_test/cdn.jsdelivr.net/npm/handlebars-intl@1.1.2/dist/handlebars-intl.min.js	(from https://hansenpartners.net/services)
10:17:49	19027/19027	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fde-4a53%22	https://cdnjs.cloudflare.com/ajax/libs/superagent/4.1.0/superagent.min.js	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/superagent/4.1.0/superagent.min.js	(from https://hansenpartners.net/services)
10:17:49	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/web_builder_test/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://hansenpartners.net/services)
10:17:49	8182/8182	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04033-1ff6%22	https://cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.min.js	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.min.js	(from https://hansenpartners.net/services)
10:17:49	2852/2852	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ef808271dc801d4a78c16259f8afb2b%22	https://d1e1jt2fj4r8r.cloudfront.net/javascript/jquery.paroller.min.js	C:/My%20Web%20Sites/web_builder_test/d1e1jt2fj4r8r.cloudfront.net/javascript/jquery.paroller.min.js	(from https://hansenpartners.net/services)
10:17:50	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Thu,%2013%20Jan%202022%2002:17:49%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/web_builder_test/translate.google.com/translate_a/element.1ca0d8.delayed	(from https://hansenpartners.net/services)
10:17:50	41171/41171	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ea7-a0d3%22	https://cdnjs.cloudflare.com/ajax/libs/ion-rangeslider/2.3.1/js/ion.rangeSlider.min.js	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/ion-rangeslider/2.3.1/js/ion.rangeSlider.min.js	(from https://hansenpartners.net/services)
10:17:51	79066/79066	---MC-	200	added ('OK')	text/javascript	date:Thu,%2013%20Jan%202022%2002:17:49%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/web_builder_test/translate.google.com/translate_a/elementa0d8.js	(from https://hansenpartners.net/services)
10:17:52	408118/408118	---MCZ	404	error ('Not%20Found')	text/html	etag:%22bc9f41faba88d83f738cdb3bcd8083b7%22	https://hansenpartners.net/modules/es.reflect.set	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/modules/es.reflect.set	(from https://hansenpartners.net/services)
10:17:53	408118/408118	---MCZ	404	error ('Not%20Found')	text/html	etag:%22bc9f41faba88d83f738cdb3bcd8083b7%22	https://hansenpartners.net/modules/es.set	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/modules/es.set	(from https://hansenpartners.net/services)
10:17:54	408118/408118	---MCZ	404	error ('Not%20Found')	text/html	etag:%22bc9f41faba88d83f738cdb3bcd8083b7%22	https://hansenpartners.net/modules/es.typed-array.set	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/modules/es.typed-array.set	(from https://hansenpartners.net/services)
10:17:55	408118/408118	---MCZ	404	error ('Not%20Found')	text/html	etag:%22bc9f41faba88d83f738cdb3bcd8083b7%22	https://hansenpartners.net/e	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/e	(from https://hansenpartners.net/services)
10:17:56	408118/408118	---MCZ	404	error ('Not%20Found')	text/html	etag:%22bc9f41faba88d83f738cdb3bcd8083b7%22	https://hansenpartners.net/divolte.js	C:/My%20Web%20Sites/web_builder_test/hansenpartners.net/divolte.js	(from https://hansenpartners.net/services)
10:17:56	19500/19500	---M--	200	added ('OK')	image/png	etag:%22fb8541b775adadcd6a2be79665a84ad1%22	https://res.cloudinary.com/luxuryp/image/upload/v1618257069/slkmzpwmsmmefdpky31q.png	C:/My%20Web%20Sites/web_builder_test/res.cloudinary.com/luxuryp/image/upload/v1618257069/slkmzpwmsmmefdpky31q.png	(from https://hansenpartners.net/services)
10:17:57	7259/7259	---M--	200	added ('OK')	image/png	etag:%22d4206eebb3ad59d135272e0ba350a5db%22	https://res.cloudinary.com/luxuryp/image/upload/v1618257055/tprhoiglqzbp9mbu8x8s.png	C:/My%20Web%20Sites/web_builder_test/res.cloudinary.com/luxuryp/image/upload/v1618257055/tprhoiglqzbp9mbu8x8s.png	(from https://hansenpartners.net/services)
10:17:57	4178/4178	---M-Z	200	added ('OK')	image/gif	etag:%225eb03fd5-1052%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1//ajax-loader.gif	C:/My%20Web%20Sites/web_builder_test/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	(from https://styles.luxurypresence.com/producer/index.css)
